# exit
#x y z t Bx By Bz Ex Ey Ez
0 0 131 0 3.35944e-18 0.00248078 7.65736e-05 0 0 0 
0 0 132 0 6.82558e-18 0.00252731 7.5653e-05 0 0 0 
0 0 133 0 1.02917e-17 0.00257384 7.47324e-05 0 0 0 
0 0 134 0 1.37579e-17 0.00262037 7.38118e-05 0 0 0 
0 0 135 0 1.7224e-17 0.0026669 7.28912e-05 0 0 0 
0 0 136 0 2.06902e-17 0.00271343 7.19706e-05 0 0 0 
0 0 137 0 2.41563e-17 0.00275996 7.105e-05 0 0 0 
0 0 138 0 2.76224e-17 0.0028065 7.01294e-05 0 0 0 
0 0 139 0 3.10886e-17 0.00285303 6.92088e-05 0 0 0 
0 0 140 0 3.45547e-17 0.00289956 6.82882e-05 0 0 0 
0 0 141 0 3.21535e-17 0.00295615 7.19597e-05 0 0 0 
0 0 142 0 2.97524e-17 0.00301274 7.56313e-05 0 0 0 
0 0 143 0 2.73512e-17 0.00306933 7.93028e-05 0 0 0 
0 0 144 0 2.495e-17 0.00312592 8.29743e-05 0 0 0 
0 0 145 0 2.25488e-17 0.00318251 8.66459e-05 0 0 0 
0 0 146 0 2.01476e-17 0.0032391 9.03174e-05 0 0 0 
0 0 147 0 1.77464e-17 0.0032957 9.39889e-05 0 0 0 
0 0 148 0 1.53452e-17 0.00335229 9.76604e-05 0 0 0 
0 0 149 0 1.2944e-17 0.00340888 0.000101332 0 0 0 
0 0 150 0 1.05429e-17 0.00346547 0.000105003 0 0 0 
0 0 151 0 1.39579e-17 0.00353047 0.000101645 0 0 0 
0 0 152 0 1.7373e-17 0.00359547 9.82875e-05 0 0 0 
0 0 153 0 2.07881e-17 0.00366048 9.49295e-05 0 0 0 
0 0 154 0 2.42032e-17 0.00372548 9.15715e-05 0 0 0 
0 0 155 0 2.76183e-17 0.00379048 8.82135e-05 0 0 0 
0 0 156 0 3.10334e-17 0.00385549 8.48555e-05 0 0 0 
0 0 157 0 3.44485e-17 0.00392049 8.14975e-05 0 0 0 
0 0 158 0 3.78636e-17 0.00398549 7.81395e-05 0 0 0 
0 0 159 0 4.12787e-17 0.0040505 7.47815e-05 0 0 0 
0 0 160 0 4.46938e-17 0.0041155 7.14235e-05 0 0 0 
0 0 161 0 4.41196e-17 0.00418395 7.6306e-05 0 0 0 
0 0 162 0 4.35455e-17 0.00425241 8.11885e-05 0 0 0 
0 0 163 0 4.29714e-17 0.00432086 8.6071e-05 0 0 0 
0 0 164 0 4.23973e-17 0.00438931 9.09535e-05 0 0 0 
0 0 165 0 4.18232e-17 0.00445777 9.5836e-05 0 0 0 
0 0 166 0 4.1249e-17 0.00452622 0.000100719 0 0 0 
0 0 167 0 4.06749e-17 0.00459468 0.000105601 0 0 0 
0 0 168 0 4.01008e-17 0.00466313 0.000110483 0 0 0 
0 0 169 0 3.95267e-17 0.00473158 0.000115366 0 0 0 
0 0 170 0 3.89525e-17 0.00480004 0.000120248 0 0 0 
0 0 171 0 4.01429e-17 0.00487357 0.000114959 0 0 0 
0 0 172 0 4.13333e-17 0.0049471 0.000109669 0 0 0 
0 0 173 0 4.25237e-17 0.00502063 0.000104379 0 0 0 
0 0 174 0 4.3714e-17 0.00509416 9.90891e-05 0 0 0 
0 0 175 0 4.49044e-17 0.00516769 9.37992e-05 0 0 0 
0 0 176 0 4.60948e-17 0.00524122 8.85093e-05 0 0 0 
0 0 177 0 4.72851e-17 0.00531475 8.32195e-05 0 0 0 
0 0 178 0 4.84755e-17 0.00538828 7.79296e-05 0 0 0 
0 0 179 0 4.96659e-17 0.00546181 7.26398e-05 0 0 0 
0 0 180 0 5.08562e-17 0.00553534 6.73499e-05 0 0 0 
0 0 181 0 4.96302e-17 0.0056287 7.0142e-05 0 0 0 
0 0 182 0 4.84042e-17 0.00572207 7.29341e-05 0 0 0 
0 0 183 0 4.71781e-17 0.00581544 7.57262e-05 0 0 0 
0 0 184 0 4.59521e-17 0.00590881 7.85183e-05 0 0 0 
0 0 185 0 4.4726e-17 0.00600218 8.13104e-05 0 0 0 
0 0 186 0 4.35e-17 0.00609555 8.41025e-05 0 0 0 
0 0 187 0 4.22739e-17 0.00618891 8.68946e-05 0 0 0 
0 0 188 0 4.10479e-17 0.00628228 8.96866e-05 0 0 0 
0 0 189 0 3.98218e-17 0.00637565 9.24787e-05 0 0 0 
0 0 190 0 3.85958e-17 0.00646902 9.52708e-05 0 0 0 
0 0 191 0 3.94313e-17 0.00656735 0.000101412 0 0 0 
0 0 192 0 4.02667e-17 0.00666568 0.000107553 0 0 0 
0 0 193 0 4.11022e-17 0.00676401 0.000113694 0 0 0 
0 0 194 0 4.19377e-17 0.00686234 0.000119836 0 0 0 
0 0 195 0 4.27731e-17 0.00696067 0.000125977 0 0 0 
0 0 196 0 4.36086e-17 0.00705901 0.000132118 0 0 0 
0 0 197 0 4.44441e-17 0.00715734 0.000138259 0 0 0 
0 0 198 0 4.52795e-17 0.00725567 0.0001444 0 0 0 
0 0 199 0 4.6115e-17 0.007354 0.000150541 0 0 0 
0 0 200 0 4.69505e-17 0.00745233 0.000156683 0 0 0 
0 0 201 0 4.28924e-17 0.00757651 0.000151835 0 0 0 
0 0 202 0 3.88343e-17 0.00770069 0.000146987 0 0 0 
0 0 203 0 3.47762e-17 0.00782486 0.00014214 0 0 0 
0 0 204 0 3.07181e-17 0.00794904 0.000137292 0 0 0 
0 0 205 0 2.666e-17 0.00807322 0.000132445 0 0 0 
0 0 206 0 2.26019e-17 0.00819739 0.000127597 0 0 0 
0 0 207 0 1.85438e-17 0.00832157 0.00012275 0 0 0 
0 0 208 0 1.44858e-17 0.00844575 0.000117902 0 0 0 
0 0 209 0 1.04277e-17 0.00856993 0.000113054 0 0 0 
0 0 210 0 6.36959e-18 0.0086941 0.000108207 0 0 0 
0 0 211 0 7.15401e-18 0.00883376 0.000112971 0 0 0 
0 0 212 0 7.93843e-18 0.00897342 0.000117734 0 0 0 
0 0 213 0 8.72285e-18 0.00911308 0.000122498 0 0 0 
0 0 214 0 9.50727e-18 0.00925273 0.000127262 0 0 0 
0 0 215 0 1.02917e-17 0.00939239 0.000132026 0 0 0 
0 0 216 0 1.10761e-17 0.00953205 0.000136789 0 0 0 
0 0 217 0 1.18605e-17 0.0096717 0.000141553 0 0 0 
0 0 218 0 1.26449e-17 0.00981136 0.000146317 0 0 0 
0 0 219 0 1.34294e-17 0.00995102 0.000151081 0 0 0 
0 0 220 0 1.42138e-17 0.0100907 0.000155844 0 0 0 
0 0 221 0 1.39079e-17 0.0102376 0.000152634 0 0 0 
0 0 222 0 1.36021e-17 0.0103846 0.000149424 0 0 0 
0 0 223 0 1.32962e-17 0.0105316 0.000146214 0 0 0 
